NAME OF DATA ELEMENT,dev-category,developer-friendly name,API data type,VARIABLE NAME,VALUE,LABEL,SOURCE,NOTES
"Average net price for $75,001-$110,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.75001-110000,integer,NPT44_PRIV,,,IPEDS,ibid
"Average net price for $110,000+ family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.110001-plus,integer,NPT45_PRIV,,,IPEDS,ibid
"Average net price for $0-$30,000 family income (program-year institutions)",cost,net_price.program_reporter.by_income_level.0-30000,integer,NPT41_PROG,,,IPEDS,ibid
"Average net price for $30,001-$48,000 family income (program-year institutions)",cost,net_price.program_reporter.by_income_level.30001-48000,integer,NPT42_PROG,,,IPEDS,ibid
"Average net price for $48,001-$75,000 family income (program-year institutions)",cost,net_price.program_reporter.by_income_level.48001-75000,integer,NPT43_PROG,,,IPEDS,ibid
"Average net price for $75,001-$110,000 family income (program-year institutions)",cost,net_price.program_reporter.by_income_level.75001-110000,integer,NPT44_PROG,,,IPEDS,ibid
"Average net price for $110,000+ family income (program-year institutions)",cost,net_price.program_reporter.by_income_level.110001-plus,integer,NPT45_PROG,,,IPEDS,ibid
"Average net price for $0-$30,000 family income (other academic calendar institutions)",cost,net_price.other_acad_calendar.by_income_level.0-30000,integer,NPT41_OTHER,,,IPEDS,ibid
"Average net price for $30,001-$48,000 family income (other academic calendar institutions)",cost,net_price.other_acad_calendar.by_income_level.30001-48000,integer,NPT42_OTHER,,,IPEDS,ibid
"Average net price for $48,001-$75,000 family income (other academic calendar institutions)",cost,net_price.other_acad_calendar.by_income_level.48001-75000,integer,NPT43_OTHER,,,IPEDS,ibid
"Average net price for $75,001-$110,000 family income (other academic calendar institutions)",cost,net_price.other_acad_calendar.by_income_level.75001-110000,integer,NPT44_OTHER,,,IPEDS,ibid
"Average net price for $110,000+ family income (other academic calendar institutions)",cost,net_price.other_acad_calendar.by_income_level.110001-plus,integer,NPT45_OTHER,,,IPEDS,ibid
"Average net price for $0-$48,000 family income (public institutions)",cost,net_price.public.by_income_level.0-48000,integer,NPT4_048_PUB,,,IPEDS,"The average annual total cost of attendance (CostT4_A, CostT4_P), including tuition and fees, books and supplies, and living expenses, minus the average grant/scholarship aid, by aggregated income category. It is calculated for all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. It is included in the IPEDS Student Financial Aid component. Separate metrics are calculated for public institutions and private institutions for each of three aggregated income categories. Average net price (NPT4_PUB, NPT4_PRIV) for each of the following three aggregated income categories: $0-$48,000; $48,001-$75,000; $75,001 or more. For public institutions, this metric is limited to undergraduates who pay in-state tuition and receive Title IV aid. For private institutions, it includes all undergraduates who receive Title IV aid. The total cost of attendance depends on whether undergraduates live on campus, off campus (not with family), or off campus (with family).
 Income categories are calculated from the income values used by the institution to calculate financial aid eligibility. For a dependent student, this includes the student's and the parents' income. For an independent student, this includes the student's adjusted gross income and, if the student is married, the spouse's income. This metric is not available prior to the 2008-09 academic year."
"Average net price for $0-$48,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.0-48000,integer,NPT4_048_PRIV,,,IPEDS,ibid
"Average net price for $0-$48,000 family income (program-year institutions)",cost,net_price.program_reporter.by_income_level.0-48000,integer,NPT4_048_PROG,,,IPEDS,ibid
"Average net price for $0-$48,000 family income (other academic calendar institutions)",cost,net_price.other_acad_calendar.by_income_level.0-48000,integer,NPT4_048_OTHER,,,IPEDS,ibid
"Average net price for $30,001-$75,000 family income (public institutions)",cost,net_price.public.by_income_level.30001-75000,integer,NPT4_3075_PUB,,,IPEDS,ibid
"Average net price for $30,001-$75,000 family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.30001-75000,integer,NPT4_3075_PRIV,,,IPEDS,ibid
"Average net price for $75,000+ family income (public institutions)",cost,net_price.public.by_income_level.75000-plus,integer,NPT4_75UP_PUB,,,IPEDS,ibid
"Average net price for $75,000+ family income (private for-profit and nonprofit institutions)",cost,net_price.private.by_income_level.75000-plus,integer,NPT4_75UP_PRIV,,,IPEDS,ibid
"Average net price for $30,001-$75,000 family income (program-year institutions)",cost,net_price.program_reporter.by_income_level.30001-75000,integer,NPT4_3075_PROG,,,IPEDS,ibid
"Average net price for $30,001-$75,000 family income (other academic calendar institutions)",cost,net_price.other_acad_calendar.by_income_level.30001-75000,integer,NPT4_3075_OTHER,,,IPEDS,ibid
"Average net price for $75,000+ family income (program-year institutions)",cost,net_price.program_reporter.by_income_level.75000-plus,integer,NPT4_75UP_PROG,,,IPEDS,ibid
"Average net price for $75,000+ family income (other academic calendar institutions)",cost,net_price.other_acad_calendar.by_income_level.75000-plus,integer,NPT4_75UP_OTHER,,,IPEDS,ibid
Number of Title IV students (public institutions),cost,title_iv.public.all,integer,NUM4_PUB,,,IPEDS,"The number of full-time, first-time, degree/certificate-seeking undergraduates who received Title IV aid (http://nces.ed.gov/ipeds/glossary/index.asp?searchtype=term&keyword=title+iv+aid), included in the IPEDS Student Financial Aid component. Separate metrics are calculated for public institutions and private institutions. For academic-year institutions, net price represents an average of all programs and includes only undergraduates who first enrolled in the fall term. For non-academic-year institutions (program or continuous enrollment), net price represents the program with the largest enrollment at the institution for the length of the full program, regardless of program length (see LProgram), and it includes undergraduates who first enrolled at any time during the academic year. For public institutions, this metric is limited to undergraduates who pay in-state tuition and receive Title IV aid. For private institutions, it includes all undergraduates who receive Title IV aid. This metric is not available prior to the 2009-10 academic year."
Number of Title IV students (private for-profit and nonprofit institutions),cost,title_iv.private.all,integer,NUM4_PRIV,,,IPEDS,ibid
Number of Title IV students (program-year institutions),cost,title_iv.program_year,integer,NUM4_PROG,,,IPEDS,ibid
Number of Title IV students (other academic calendar institutions),cost,title_iv.academic_year,integer,NUM4_OTHER,,,IPEDS,ibid
"Number of Title IV students, $0-$30,000 family income (public institutions)",cost,title_iv.public.by_income_level.0-30000,integer,NUM41_PUB,,,IPEDS,"The number of full-time, first-time, degree/certificate-seeking undergraduates who received Title IV aid (see NUM4_PUB, NUM4_PRIV), by income category, included in the IPEDS Student Financial Aid component. Separate metrics are calculated for public institutions and private institutions for each of five income categories. Income categories are as follows: $0-$30,000; $30,001-$48,000; $48,001-$75,000; $75,001-$110,000; $110,001 or more. This metric is not available prior to the 2009-10 academic year."
"Number of Title IV students, $30,001-$48,000 family income (public institutions)",cost,title_iv.public.by_income_level.30001-48000,integer,NUM42_PUB,,,IPEDS,ibid
"Number of Title IV students, $48,001-$75,000 family income (public institutions)",cost,title_iv.public.by_income_level.48001-75000,integer,NUM43_PUB,,,IPEDS,ibid
"Number of Title IV students, $75,001-$110,000 family income (public institutions)",cost,title_iv.public.by_income_level.75001-110000,integer,NUM44_PUB,,,IPEDS,ibid
"Number of Title IV students, $110,000+ family income (public institutions)",cost,title_iv.public.by_income_level.110001-plus,integer,NUM45_PUB,,,IPEDS,ibid
"Number of Title IV students, $0-$30,000 family income (private for-profit and nonprofit institutions)",cost,title_iv.private.by_income_level.0-30000,integer,NUM41_PRIV,,,IPEDS,ibid
"Number of Title IV students, $30,001-$48,000 family income (private for-profit and nonprofit institutions)",cost,title_iv.private.by_income_level.30001-48000,integer,NUM42_PRIV,,,IPEDS,ibid
"Number of Title IV students, $48,001-$75,000 family income (private for-profit and nonprofit institutions)",cost,title_iv.private.by_income_level.48001-75000,integer,NUM43_PRIV,,,IPEDS,ibid
"Number of Title IV students, $75,001-$110,000 family income (private for-profit and nonprofit institutions)",cost,title_iv.private.by_income_level.75001-110000,integer,NUM44_PRIV,,,IPEDS,ibid
"Number of Title IV students, $110,000+ family income (private for-profit and nonprofit institutions)",cost,title_iv.private.by_income_level.110001-plus,integer,NUM45_PRIV,,,IPEDS,ibid
"Number of Title IV students, $0-$30,000 family income (program-year institutions)",cost,title_iv.program_reporter.by_income_level.0-30000,integer,NUM41_PROG,,,IPEDS,ibid
"Number of Title IV students, $30,001-$48,000 family income (program-year institutions)",cost,title_iv.program_reporter.by_income_level.30001-48000,integer,NUM42_PROG,,,IPEDS,ibid
"Number of Title IV students, $48,001-$75,000 family income (program-year institutions)",cost,title_iv.program_reporter.by_income_level.48001-75000,integer,NUM43_PROG,,,IPEDS,ibid
"Number of Title IV students, $75,001-$110,000 family income (program-year institutions)",cost,title_iv.program_reporter.by_income_level.75001-110000,integer,NUM44_PROG,,,IPEDS,ibid
"Number of Title IV students, $110,000+ family income (program-year institutions)",cost,title_iv.program_reporter.by_income_level.110001-plus,integer,NUM45_PROG,,,IPEDS,ibid
"Number of Title IV students, $0-$30,000 family income (other academic calendar institutions)",cost,title_iv.other_acad_calendar.by_income_level.0-30000,integer,NUM41_OTHER,,,IPEDS,ibid
"Number of Title IV students, $30,001-$48,000 family income (other academic calendar institutions)",cost,title_iv.other_acad_calendar.by_income_level.30001-48000,integer,NUM42_OTHER,,,IPEDS,ibid
"Number of Title IV students, $48,001-$75,000 family income (other academic calendar institutions)",cost,title_iv.other_acad_calendar.by_income_level.48001-75000,integer,NUM43_OTHER,,,IPEDS,ibid
"Number of Title IV students, $75,001-$110,000 family income (other academic calendar institutions)",cost,title_iv.other_acad_calendar.by_income_level.75001-110000,integer,NUM44_OTHER,,,IPEDS,ibid
"Number of Title IV students, $110,000+ family income (other academic calendar institutions)",cost,title_iv.other_acad_calendar.by_income_level.110001-plus,integer,NUM45_OTHER,,,IPEDS,ibid
Average cost of attendance (academic year institutions),cost,attendance.academic_year,integer,COSTT4_A,,,IPEDS,"The average annual total cost of attendance, including tuition and fees, books and supplies, and living expenses for all full-time, first-time, degree/certificate-seeking undergraduates who receive Title IV aid. It is calculated from values in the IPEDS Institutional Characteristics and Student Financial Aid components. Separate metrics are calculated for academic-year institutions and program-year institutions. For academic-year institutions, average cost of attendance represents an average of all programs and includes only undergraduates who first enrolled in the fall term. For non-academic-year institutions (program or continuous enrollment), average cost of attendance represents the program with the largest enrollment at the institution for the length of the full program (see LProgram), regardless of program length, and it includes undergraduates who first enrolled at any time during the academic year."
In-state tuition and fees,cost,tuition.in_state,integer,TUITIONFEE_IN,,,IPEDS,
Out-of-state tuition and fees,cost,tuition.out_of_state,integer,TUITIONFEE_OUT,,,IPEDS,
Net tuition revenue per full-time equivalent student,school,tuition_revenue_per_fte,integer,TUITFTE,,,IPEDS,Net tuition revenue (tuition revenue minus discounts and allowances) divided by the number of FTE students (undergraduates and graduate students) (http://nces.ed.gov/ipeds/glossary/index.asp?id=854). Net tuition revenue is included in the IPEDS Finances component and FTE enrollment is included in the IPEDS 12-month enrollment component. This metric includes graduate students.
Instructional expenditures per full-time equivalent student,school,instructional_expenditure_per_fte,integer,INEXPFTE,,,IPEDS,Instructional expenditures divided by the number of FTE students (undergraduates and graduate students) (http://nces.ed.gov/ipeds/glossary/index.asp?id=854). Instructional expenditures are included in the IPEDS Finances component and FTE enrollment is included in the IPEDS 12-month enrollment component. This metric includes graduate students.
Percentage of undergraduates who receive a Pell Grant,aid,pell_grant_rate,float,PCTPELL,,,IPEDS,"The proportion of undergraduates who received a Pell grant in the academic year, calculated from the IPEDS Student Financial Aid component. This metric is calculated by IPEDS as the quotient of the number of Pell grant recipients divided by the count of all undergraduates for either a fall enrollment cohort (for institutions that primarily follow an academic year calendar system) or a full-year enrollment cohort (for institutions that primarily follow a continuous enrollment or program-based calendar system). Proportions are expressed as decimals rounded to four decimal places, so, for example, 0.1234 equals 12.34 percent. This metric is not available prior to the 2008-09 academic year."
"Share of undergraduate students who are first-time, full-time degree-/certificate-seeking undergraduate students",student,share_first.time_full.time,float,PFTFTUG1_EF,,,IPEDS,
"Fraction of repayment cohort who are not in default, and with loan balances that have declined one year since entering repayment, excluding enrolled and military deferment from calculation. (Rolling averages)",repayment,repayment_cohort.1_year_declining_balance,float,RPY_1YR_RT,,,NSLDS,
One-year repayment rate for completers,repayment,1_yr_repayment.completers,float,COMPL_RPY_1YR_RT,,,NSLDS,
One-year repayment rate for non-completers,repayment,1_yr_repayment.noncompleters,float,NONCOM_RPY_1YR_RT,,,NSLDS,
"One-year repayment rate by family income ($0-30,000)",repayment,1_yr_repayment.income.0_30000,float,LO_INC_RPY_1YR_RT,,,NSLDS,
"One-year repayment rate by family income ($30,000-75,000)",repayment,1_yr_repayment.income.30000_75000,float,MD_INC_RPY_1YR_RT,,,NSLDS,
"One-year repayment rate by family income ($75,000+)",repayment,1_yr_repayment.income.greater_than_75000,float,HI_INC_RPY_1YR_RT,,,NSLDS,
One-year repayment rate for dependent students,repayment,1_yr_repayment.dependent_students,float,DEP_RPY_1YR_RT,,,NSLDS,
One-year repayment rate for independent students,repayment,1_yr_repayment.independent_students,float,IND_RPY_1YR_RT,,,NSLDS,
One-year repayment rate for students who received a Pell grant while at the school,repayment,1_yr_repayment.pell_grant,float,PELL_RPY_1YR_RT,,,NSLDS,
One-year repayment rate for students who never received a Pell grant while at school,repayment,1_yr_repayment.no_pell_grant,float,NOPELL_RPY_1YR_RT,,,NSLDS,
One-year repayment rate for females,repayment,1_yr_repayment.female_students,float,FEMALE_RPY_1YR_RT,,,NSLDS,
One-year repayment rate for males,repayment,1_yr_repayment.male_students,float,MALE_RPY_1YR_RT,,,NSLDS,
One-year repayment rate for first-generation students,repayment,1_yr_repayment.first_generation_students,float,FIRSTGEN_RPY_1YR_RT,,,NSLDS,
One-year repayment rate for students who are not first-generation,repayment,1_yr_repayment.non_first_generation_students,float,NOTFIRSTGEN_RPY_1YR_RT,,,NSLDS,
"Fraction of repayment cohort who are not in default, and with loan balances that have declined three years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)",repayment,repayment_cohort.3_year_declining_balance,float,RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for completers,repayment,3_yr_repayment.completers,float,COMPL_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for non-completers,repayment,3_yr_repayment.noncompleters,float,NONCOM_RPY_3YR_RT,,,NSLDS,
"Three-year repayment rate by family income ($0-30,000)",repayment,3_yr_repayment.income.0_30000,float,LO_INC_RPY_3YR_RT,,,NSLDS,
"Three-year repayment rate by family income ($30,000-75,000)",repayment,3_yr_repayment.income.30000_75000,float,MD_INC_RPY_3YR_RT,,,NSLDS,
"Three-year repayment rate by family income ($75,000+)",repayment,3_yr_repayment.income.greater_than_75000,float,HI_INC_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for dependent students,repayment,3_yr_repayment.dependent_students,float,DEP_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for independent students,repayment,3_yr_repayment.independent_students,float,IND_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for students who received a Pell grant while at the school,repayment,3_yr_repayment.pell_grant,float,PELL_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for students who never received a Pell grant while at school,repayment,3_yr_repayment.no_pell_grant,float,NOPELL_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for females,repayment,3_yr_repayment.female_students,float,FEMALE_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for males,repayment,3_yr_repayment.male_students,float,MALE_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for first-generation students,repayment,3_yr_repayment.first_generation_students,float,FIRSTGEN_RPY_3YR_RT,,,NSLDS,
Three-year repayment rate for students who are not first-generation,repayment,3_yr_repayment.non_first_generation_students,float,NOTFIRSTGEN_RPY_3YR_RT,,,NSLDS,
"Fraction of repayment cohort who are not in default, and with loan balances that have declined five years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)",repayment,repayment_cohort.5_year_declining_balance,float,RPY_5YR_RT,,,NSLDS,
Five-year repayment rate for completers,repayment,5_yr_repayment.completers,float,COMPL_RPY_5YR_RT,,,NSLDS,
Five-year repayment rate for non-completers,repayment,5_yr_repayment.noncompleters,float,NONCOM_RPY_5YR_RT,,,NSLDS,
"Five-year repayment rate by family income ($0-30,000)",repayment,5_yr_repayment.income.0_30000,float,LO_INC_RPY_5YR_RT,,,NSLDS,
"Five-year repayment rate by family income ($30,000-75,000)",repayment,5_yr_repayment.income.30000_75000,float,MD_INC_RPY_5YR_RT,,,NSLDS,
"Five-year repayment rate by family income ($75,000+)",repayment,5_yr_repayment.income.greater_than_75000,float,HI_INC_RPY_5YR_RT,,,NSLDS,
Five-year repayment rate for dependent students,repayment,5_yr_repayment.dependent_students,float,DEP_RPY_5YR_RT,,,NSLDS,
Five-year repayment rate for independent students,repayment,5_yr_repayment.independent_students,float,IND_RPY_5YR_RT,,,NSLDS,
Five-year repayment rate for students who received a Pell grant while at the school,repayment,5_yr_repayment.pell_grant,float,PELL_RPY_5YR_RT,,,NSLDS,
Five-year repayment rate for students who never received a Pell grant while at school,repayment,5_yr_repayment.no_pell_grant,float,NOPELL_RPY_5YR_RT,,,NSLDS,
Five-year repayment rate for females,repayment,5_yr_repayment.female_students,float,FEMALE_RPY_5YR_RT,,,NSLDS,
Five-year repayment rate for males,repayment,5_yr_repayment.male_students,float,MALE_RPY_5YR_RT,,,NSLDS,
Five-year repayment rate for first-generation students,repayment,5_yr_repayment.first_generation_students,float,FIRSTGEN_RPY_5YR_RT,,,NSLDS,
Five-year repayment rate for students who are not first-generation,repayment,5_yr_repayment.non_first_generation_students,float,NOTFIRSTGEN_RPY_5YR_RT,,,NSLDS,
"Fraction of repayment cohort who are not in default, and with loan balances that have declined seven years since entering repayment, excluding enrolled and military deferment from calculation. (rolling averages)",repayment,repayment_cohort.7_year_declining_balance,float,RPY_7YR_RT,,,NSLDS,
Seven-year repayment rate for completers,repayment,7_yr_repayment.completers,float,COMPL_RPY_7YR_RT,,,NSLDS,
Seven-year repayment rate for non-completers,repayment,7_yr_repayment.noncompleters,float,NONCOM_RPY_7YR_RT,,,NSLDS,
"Seven-year repayment rate by family income ($0-30,000)",repayment,7_yr_repayment.income.0_30000,float,LO_INC_RPY_7YR_RT,,,NSLDS,
"Seven-year repayment rate by family income ($30,000-75,000)",repayment,7_yr_repayment.income.30000_75000,float,MD_INC_RPY_7YR_RT,,,NSLDS,
"Seven-year repayment rate by family income ($75,000+)",repayment,7_yr_repayment.income.greater_than_75000,float,HI_INC_RPY_7YR_RT,,,NSLDS,
Seven-year repayment rate for dependent students,repayment,7_yr_repayment.dependent_students,float,DEP_RPY_7YR_RT,,,NSLDS,
Seven-year repayment rate for independent students,repayment,7_yr_repayment.independent_students,float,IND_RPY_7YR_RT,,,NSLDS,
Seven-year repayment rate for students who received a Pell grant while at the school,repayment,7_yr_repayment.pell_grant,float,PELL_RPY_7YR_RT,,,NSLDS,
Seven-year repayment rate for students who never received a Pell grant while at school,repayment,7_yr_repayment.no_pell_grant,float,NOPELL_RPY_7YR_RT,,,NSLDS,
Seven-year repayment rate for females,repayment,7_yr_repayment.female_students,float,FEMALE_RPY_7YR_RT,,,NSLDS,
Seven-year repayment rate for males,repayment,7_yr_repayment.male_students,float,MALE_RPY_7YR_RT,,,NSLDS,
Seven-year repayment rate for first-generation students,repayment,7_yr_repayment.first_generation_students,float,FIRSTGEN_RPY_7YR_RT,,,NSLDS,
Seven-year repayment rate for students who are not first-generation,repayment,7_yr_repayment.non_first_generation_students,float,NOTFIRSTGEN_RPY_7YR_RT,,,NSLDS,
"Percentage of aided students whose family income is between $0-$30,000",student,share_lowincome.0_30000,float,INC_PCT_LO,,,NSLDS,
Percentage of students who are financially independent,student,share_independent_students,float,DEP_STAT_PCT_IND,,,NSLDS,
"Percentage of students who are financially independent and have family incomes between $0-30,000",student,share_independent_lowincome.0_30000,float,DEP_INC_PCT_LO,,,NSLDS,
"Percentage of students who are financially dependent and have family incomes between $0-30,000",student,share_dependent_lowincome.0_300000,float,IND_INC_PCT_LO,,,NSLDS,
Percentage first-generation students,student,share_firstgeneration,float,PAR_ED_PCT_1STGEN,,,NSLDS,
"Aided students with family incomes between $30,001-$48,000 in nominal dollars",student,share_middleincome.30001_48000,float,INC_PCT_M1,,,NSLDS,
"Aided students with family incomes between $48,001-$75,000 in nominal dollars",student,share_middleincome.30001_48000,float,INC_PCT_M2,,,NSLDS,
"Aided students with family incomes between $75,001-$110,000 in nominal dollars",student,share_highincome.75001_110000,float,INC_PCT_H1,,,NSLDS,
"Aided students with family incomes between $110,001+ in nominal dollars",student,share_highincome.110001plus,float,INC_PCT_H2,,,NSLDS,
"Dependent students with family incomes between $30,001-$48,000 in nominal dollars",student,share_dependent_middleincome.300001_48000,float,DEP_INC_PCT_M1,,,NSLDS,
"Dependent students with family incomes between $48,001-$75,000 in nominal dollars",student,share_dependent_middleincome.48001_75000,float,DEP_INC_PCT_M2,,,NSLDS,
"Dependent students with family incomes between $75,001-$110,000 in nominal dollars",student,share_dependent_highincome.75001_110000,float,DEP_INC_PCT_H1,,,NSLDS,
"Dependent students with family incomes between $110,001+ in nominal dollars",student,share_dependent_highincome.110001plus,float,DEP_INC_PCT_H2,,,NSLDS,
"Independent students with family incomes between $30,001-$48,000 in nominal dollars",student,share_independent_middleincome.30001_48000,float,IND_INC_PCT_M1,,,NSLDS,
"Independent students with family incomes between $48,001-$75,000 in nominal dollars",student,share_independent_middleincome.48001_75000,float,IND_INC_PCT_M2,,,NSLDS,
"Independent students with family incomes between $75,001-$110,000 in nominal dollars",student,share_independent_highincome.75001_110000,float,IND_INC_PCT_H1,,,NSLDS,
"Independent students with family incomes between $110,001+ in nominal dollars",student,share_independent_highincome.110001plus,float,IND_INC_PCT_H2,,,NSLDS,
Percent of students whose parents' highest educational level is middle school,student,share_firstgeneration_parents.middleschool,float,PAR_ED_PCT_MS,,,NSLDS,
Percent of students whose parents' highest educational level is high school,student,share_firstgeneration_parents.highschool,float,PAR_ED_PCT_HS,,,NSLDS,
Percent of students whose parents' highest educational level was is some form of postsecondary education,student,share_firstgeneration_parents.somecollege,float,PAR_ED_PCT_PS,,,NSLDS,
Number of applications is greater than or equal to 2,student,fafsa_sent.2_college_allyrs,float,APPL_SCH_PCT_GE2,,,NSLDS,
Number of applications is greater than or equal to 3,student,fafsa_sent.3_college_allyrs,float,APPL_SCH_PCT_GE3,,,NSLDS,
Number of applications is greater than or equal to 4,student,fafsa_sent.4_college_allyrs,float,APPL_SCH_PCT_GE4,,,NSLDS,
Number of applications is greater than or equal to 5,student,fafsa_sent.5plus_college_allyrs,float,APPL_SCH_PCT_GE5,,,NSLDS,
Average family income of dependent students in real 2015 dollars.,student,avg_dependent_income.2014dollars,integer,DEP_INC_AVG,,,NSLDS,
Average family income of independent students in real 2015 dollars.,student,avg_independent_income.2014dollars,integer,IND_INC_AVG,,,NSLDS,
The median original amount of the loan principal upon entering repayment,aid,loan_principal,float,DEBT_MDN,,,NSLDS,
The median debt for students who have completed,aid,median_debt.completers.overall,float,GRAD_DEBT_MDN,,,NSLDS,
The median debt for students who have not completed,aid,median_debt.noncompleters,float,WDRAW_DEBT_MDN,,,NSLDS,
"The median debt for students with family income between $0-$30,000",aid,median_debt.income.0_30000,float,LO_INC_DEBT_MDN,,,NSLDS,
"The median debt for students with family income between $30,001-$75,000",aid,median_debt.income.30001_75000,float,MD_INC_DEBT_MDN,,,NSLDS,
"The median debt for students with family income $75,001+",aid,median_debt.income.greater_than_75000,float,HI_INC_DEBT_MDN,,,NSLDS,
The median debt for dependent students,aid,median_debt.dependent_students,float,DEP_DEBT_MDN,,,NSLDS,
The median debt for independent students,aid,median_debt.independent_students,float,IND_DEBT_MDN,,,NSLDS,
The median debt for Pell students,aid,median_debt.pell_grant,float,PELL_DEBT_MDN,,,NSLDS,
The median debt for no-Pell students,aid,median_debt.no_pell_grant,float,NOPELL_DEBT_MDN,,,NSLDS,
The median debt for female students,aid,median_debt.female_students,float,FEMALE_DEBT_MDN,,,NSLDS,
The median debt for male students,aid,median_debt.male_students,float,MALE_DEBT_MDN,,,NSLDS,
The median debt for first-generation students,aid,median_debt.first_generation_students,float,FIRSTGEN_DEBT_MDN,,,NSLDS,
The median debt for not-first-generation students,aid,median_debt.non_first_generation_students,float,NOTFIRSTGEN_DEBT_MDN,,,NSLDS,
The number of students in the median debt cohort,aid,median_debt.number.overall,integer,DEBT_N,,,NSLDS,
The number of students in the median debt completers cohort,aid,median_debt.number.completers,integer,GRAD_DEBT_N,,,NSLDS,
The number of students in the median debt withdrawn cohort,aid,median_debt.number.noncompleters,integer,WDRAW_DEBT_N,,,NSLDS,
